コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,4310.00,4315.00,4280.00,4295.00,16400,70479000
1305-T,ETFTPX,東証,1904.00,1907.00,1898.00,1899.00,107800,204987070
1306-T,TOPIX投,東証,1877.00,1880.00,1870.00,1870.00,2458330,4607059980
1308-T,上場TPX,東証,1857.00,1862.00,1852.00,1853.00,186200,345822500
1309-T,上証50連,東証,33800.00,33900.00,33650.00,33700.00,407,13749400
1310-T,ETF･コア30,東証,803.00,810.00,803.00,810.00,60,48380
1311-T,TOPIX30,東証,823.00,823.00,815.00,819.00,1290,1054020
1312-T,RN小型コア,東証,22970.00,22970.00,22780.00,22780.00,15,343980
1313-T,KODEX200,東証,3520.00,3520.00,3520.00,3520.00,50,176000
1314-T,上場新興,東証,1552.00,1587.00,1552.00,1563.00,400,626600
1319-T,300投信,東証,353.00,353.00,353.00,353.00,1000,353000
1319-S,300投信,札証,,,,,0,0
1319-F,300投信,福証,,,,,0,0
1320-T,ETF225,東証,23460.00,23500.00,23370.00,23380.00,51501,1206801570
1321-T,225投信,東証,23480.00,23510.00,23370.00,23410.00,231315,5424780500
1322-T,上場パンタ,東証,5410.00,5450.00,5410.00,5410.00,440,2383500
1323-T,南ア40,東証,412.00,416.00,405.00,409.00,10000,4124300
1324-T,RTS連動,東証,125.00,126.00,125.00,125.00,59800,7480700
1325-T,ボベスパ,東証,206.00,206.00,204.00,204.00,40100,8230800
1326-T,SPDRゴール,東証,13870.00,13880.00,13850.00,13850.00,2207,30600150
1327-T,EASY商品,東証,3180.00,3195.00,3100.00,3130.00,297,934370
1328-T,金連動,東証,3835.00,3850.00,3830.00,3850.00,4540,17435150
1329-T,iS225,東証,23540.00,23570.00,23460.00,23470.00,60757,1428479330
1330-T,上場225,東証,23560.00,23600.00,23460.00,23490.00,57580,1355468900
1332-T,日水,東証1部,591.00,592.00,585.00,589.00,3545000,2088478500
1333-T,マルハニチロ,東証1部,3370.00,3405.00,3360.00,3400.00,135500,459408500
1343-T,REIT-ETF,東証,1777.00,1779.00,1771.00,1776.00,63370,112467790
1344-T,MXSコア30,東証,790.00,790.00,781.00,784.00,280,220090
1345-T,上場Jリート,東証,1679.00,1681.00,1673.00,1675.00,120000,200915000
1346-T,MXS225,東証,23550.00,23590.00,23460.00,23480.00,24083,566338720
1347-T,上場グリチ,東証,,,,,0,0
1348-T,MXSトピクス,東証,1878.00,1882.00,1873.00,1874.00,56460,105996780
1349-T,アジア債券,東証,13330.00,13330.00,13230.00,13290.00,22,293040
1352-T,ホウスイ,東証1部,1172.00,1176.00,1170.00,1170.00,1900,2226400
1356-T,TPXベア2,東証,2368.00,2383.00,2359.00,2379.00,94460,224044900
1357-T,日経ダブ,東証,1272.00,1284.00,1268.00,1280.00,9616814,12266434558
1358-T,上場2倍,東証,19840.00,19900.00,19690.00,19730.00,9461,187412280
1360-T,日経ベア2,東証,3060.00,3080.00,3040.00,3070.00,570190,1743709550
1361-T,iS米HY債,東証,11430.00,11560.00,11430.00,11520.00,874,10061220
1362-T,iS新興債,東証,7320.00,7370.00,7320.00,7340.00,1367,10025300
1363-T,iS米国債,東証,21440.00,21660.00,21440.00,21650.00,436,9408950
1364-T,iSJPX400,東証,16370.00,16390.00,16320.00,16320.00,116,1900580
1365-T,225ダブル,東証,15980.00,16050.00,15870.00,15900.00,57322,913857860
1366-T,225Dベア,東証,3320.00,3345.00,3310.00,3340.00,105580,351518425
1367-T,TPXダブル,東証,16070.00,16120.00,15960.00,15970.00,2009,32170390
1368-T,TPXDベア,東証,3445.00,3465.00,3425.00,3450.00,581,1999655
1369-T,One225,東証,22880.00,22890.00,22770.00,22770.00,5,114220
1376-T,カネコ種,東証1部,1725.00,1725.00,1700.00,1702.00,4900,8368600
1377-T,サカタのタネ,東証1部,3935.00,3935.00,3890.00,3910.00,67500,263635000
1379-T,ホクト,東証1部,2049.00,2053.00,2042.00,2051.00,54400,111406700
1380-T,秋川牧園,JQスタンダード,633.00,640.00,633.00,640.00,2400,1523200
1381-T,アクシーズ,JQスタンダード,3950.00,3970.00,3950.00,3960.00,600,2376500
1382-T,ホーブ,JQスタンダード,966.00,966.00,955.00,955.00,800,765100
1383-T,ベルグアース,JQスタンダード,2201.00,2542.00,2151.00,2285.00,894600,2123755400
1384-T,ホクリヨウ,東証1部,1228.00,1230.00,1204.00,1217.00,17800,21599700
1385-T,UBSユーロ50,東証,4785.00,4785.00,4745.00,4755.00,981,4661845
1386-T,UBS欧州,東証,8700.00,8710.00,8650.00,8690.00,518,4494270
1387-T,欧通貨圏,東証,16900.00,16900.00,16870.00,16870.00,11,185870
1388-T,欧州小型,東証,13780.00,13890.00,13780.00,13890.00,45,621090
1389-T,UBS英大,東証,10780.00,10780.00,10780.00,10780.00,5,53900
1390-T,UBSアジア,東証,5150.00,5220.00,5150.00,5220.00,80,412600
1391-T,UBSスイス,東証,2038.00,2038.00,2024.00,2030.00,1420,2883026
1392-T,UBS英国,東証,2974.00,2974.00,2960.00,2970.00,281,835045
1393-T,UBS米国,東証,29110.00,29110.00,29110.00,29110.00,10,291100
1394-T,UBS先進,東証,23720.00,23720.00,23720.00,23720.00,1,23720
1397-T,SMAM225,東証,,,,,0,0
1398-T,SMAMJリート,東証,1688.00,1688.00,1683.00,1685.00,280,471830
1399-T,上場ボラ,東証,1756.00,1782.00,1756.00,1782.00,60,105880
1400-T,ルーデン,JQグロース,355.00,410.00,348.00,374.00,716100,273951000
1401-T,エムビーエス,東証マザーズ,767.00,819.00,766.00,815.00,87000,68938500
1401-F,エムビーエス,福証Q-Board,,,,,0,0
1407-T,ウエストHD,JQスタンダード,748.00,755.00,745.00,755.00,106800,80210600
1408-T,サムシングHD,JQグロース,540.00,543.00,536.00,537.00,14400,7752800
1413-T,桧家HD,東証2部,2433.00,2475.00,2425.00,2468.00,17900,43717600
1414-T,ショーボンド,東証1部,8080.00,8080.00,7940.00,8030.00,47300,379283000
1417-T,ミライトHD,東証1部,1675.00,1689.00,1668.00,1677.00,175300,294364000
1418-T,インターライフ,JQスタンダード,320.00,326.00,320.00,326.00,130700,42222200
1419-T,タマホーム,東証1部,847.00,869.00,840.00,842.00,340900,290346400
1419-F,タマホーム,福証,,,,,0,0
1420-T,サンヨーH,東証1部,989.00,1003.00,961.00,996.00,171100,167744600
1429-T,日本アクア,東証マザーズ,505.00,505.00,493.00,498.00,106300,53052700
1430-T,ファーストコポ,東証1部,1505.00,1523.00,1482.00,1484.00,78200,117087300
1431-F,エスケーホーム,福証Q-Board,1070.00,1120.00,1060.00,1110.00,14900,16355800
1432-T,動力,東証TPM,,,,,0,0
1433-T,ベステラ,東証1部,2191.00,2194.00,2173.00,2177.00,19900,43377400
1434-T,JESCOHD,東証2部,565.00,579.00,564.00,568.00,159000,90382000
1435-T,インベスターC,東証1部,1715.00,1715.00,1660.00,1674.00,308400,519856000
1436-T,フィット,東証マザーズ,1129.00,1130.00,1115.00,1126.00,11500,12927400
1437-T,ピースリビン,東証TPM,,,,,0,0
1439-T,安江工務,JQスタンダード,1258.00,1259.00,1242.00,1259.00,2900,3643900
1440-T,やまぜん,東証TPM,,,,,0,0
1456-T,225ベア,東証,7120.00,7180.00,7100.00,7100.00,1136,8141810
1457-T,TPXベア,東証,7280.00,7280.00,7280.00,7280.00,1,7280
1458-T,楽天Dブル,東証,11870.00,11910.00,11780.00,11800.00,121146,1435591910
1459-T,楽天Dベア,東証,4905.00,4940.00,4885.00,4930.00,187170,919368640
1460-T,MXSJクオ,東証,20760.00,20760.00,20760.00,20760.00,1,20760
1464-T,D400ダブ,東証,12340.00,12380.00,12280.00,12280.00,1567,19283540
1465-T,DW400ベア,東証,7230.00,7240.00,7230.00,7230.00,403,2917640
1466-T,J400Dベア,東証,4750.00,4790.00,4750.00,4780.00,547,2612645
1467-T,J400ブル,東証,12230.00,12260.00,12180.00,12180.00,200,2447300
1468-T,J400ベア,東証,7280.00,7280.00,7280.00,7280.00,10,72800
1469-T,400ベア2,東証,4710.00,4750.00,4710.00,4750.00,1880,8914450
1470-T,J400レバ,東証,24870.00,24950.00,24690.00,24750.00,4146,102781170
1471-T,J400インバ,東証,4645.00,4740.00,4645.00,4700.00,17,80215
1472-T,J400ダブ,東証,1867.00,1886.00,1867.00,1883.00,1554,2914529
1473-T,Oneトピクス,東証,1832.00,1839.00,1832.00,1839.00,60,110060
1474-T,OneJP400,東証,,,,,0,0
1475-T,iSTOPIX,東証,1842.00,1843.00,1835.00,1837.00,10833,19924301
1476-T,iSJリート,東証,1709.00,1710.00,1697.00,1702.00,3201,5450266
1477-T,iS分散,東証,1950.00,1958.00,1942.00,1942.00,90,175790
1478-T,iS高配当,東証,2281.00,2312.00,2275.00,2307.00,532,1219477
1479-T,DW人材,東証,21480.00,21480.00,21040.00,21060.00,20,422030
1480-T,企業価値,東証,,,,,0,0
1481-T,上場貢献,東証,1669.00,1669.00,1642.00,1667.00,35,58368
1482-T,米債ヘッジ,東証,2375.00,2380.00,2339.00,2371.00,2713,6410154
